KEY	511145-E_coli_Wisniewski_2014_cpc.txt_Unnamed: 1	511145-Ecoli_APEX_arike_2012.txt_Unnamed: 1	511145-Ecoli_Krug_2013.txt_Unnamed: 1	511145-Ecoli_Krug_2013_emPAI.txt_Unnamed: 1	511145-Ecoli_emPAI_arike_2012.txt_Unnamed: 1	511145-Ecoli_iBAQ_arike_2012.txt_Unnamed: 1	511145-Ecoli_strainK12_PRIDE.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_12189_E__2reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_17112_E__2reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_18119_E__5reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps.txt_Unnamed: 1	511145-GPM_201408.txt_Unnamed: 1	511145-Lu_ecoli_2007.txt_Unnamed: 1	511145-PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH.txt_Unnamed: 1	511145-Taniguchi_2010_Table_S6.txt_Unnamed: 1	511145-WHOLE_ORGANISM-integrated.txt_Unnamed: 1	511145-WT-lewis-peptide_count.txt_Unnamed: 1	511145-ecoli1_HCD_CID_PRIDE.txt_Unnamed: 1	511145-ecoli2_resolutionCombination_PRIDE.txt_Unnamed: 1
ENSB:DPSxeJCIPbQLa3H	0	0	0.967	0.063	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0
ENSB:C7R21euAS6_B0qU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:HXmiegpuQFsbwEn	0	0	0	0	0	0	0	64.5	0	0	12.0	4.62	0	5.33	0	3.03	0	0	0
ENSB:uJ73ZnllAKgz1OM	0	0	1.06	0.143	0	0	0	0	0	0	0	0.539	0	0	0	0.083	0	0	0
ENSB:otK28DJNKFQMW0F	0	74.5	17.8	0.958	0	0	10.0	23.0	0	35.1	0.355	16.3	0	8.84	0	11.5	0	0	18.4
ENSB:cDrmDM5WbJ5Pmvb	179	0	24.6	4.2	0	58.1	94.3	126	871	0	0	254	0	10.6	0	54.8	0	0	0
ENSB:w5sNu5Jw8wKnEL2	280	322	1318	23.7	160	229	411	480	193	568	319	960	0	397	569	482	47.8	1107	520
ENSB:kMJj4ohDWil98mC	538	979	463	21.0	356	220	23.5	592	391	796	372	294	0	182	2.14	356	0	0	410
ENSB:fcPXuXhvyYBufpE	0	0	4.65	0.191	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	8.09
ENSB:Hg87mmhAf5Zi3RW	918	65.3	13.9	0.452	181	61.0	3118	384	1082	1331	37.5	574	4474	2332	7558	1084	0	0	1673
b3557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:4jQGS59ezPaxpcy	0	0	0	0	0	0	19.9	34.4	0	41.3	4.82	0	0	0	0	8.86	0	0	27.7
ENSB:6tYePxzpFriEKCy	457	756	1078	75.2	706	645	1006	695	462	1088	874	772	631	1088	0	787	262	1302	956
ENSB:fXhieaeEGm2gmo4	156	1206	728	14.2	267	491	159	457	379	600	395	332	1685	680	0	428	33.4	202	503
ENSB:tpn5M-U1vHgnKic	0	0	0.086	0.041	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0
ENSB:jB1LWxDWEc91xEQ	0	0	0	0	0	0	0	0	0	0	9.41	0	0	0	0	1.64	0	0	0
ENSB:o6cRvZydiL04Ue1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:KQXzh5IziW0nzNX	8.1	0	16.6	1.0	0	0	12.9	19.3	0	0	0	1.85	0	0.506	0	2.0	0	0	0
ENSB:yyRtrnik-bPEAfH	7.06	0	4.9	0.542	0	0	6.85	13.8	10.8	0	6.17	21.9	0	0	0	3.3	0	0	0
ENSB:PgZqditU4fltj_j	0	570	0	0	464	406	226	161	0	11.5	582	94.1	0	1.92	0	172	0	0	5.38
ENSB:1auennhV3gYtXx4	0	0	0	0	0	0	36.1	5.29	0	0	2.9	0.894	0	0	0	1.79	0	0	3.3
ENSB:2x6TJT4e5xCqqpi	0	0	0	0	0	0	0	0	0	54.5	0	0	0	0	0	11.8	0	0	48.5
ENSB:4Mx9rcz6UN7vL4K	3.83	0	0.596	0.065	0	0	0	0.426	0	0	0	2.66	0	6.67	0	0.59	0	0	0
ENSB:smTW6WPxbFXw3Cr	0	0	0	0	0	0	9.54	0	0	0	8.68	3.02	0	0	0	3.62	0	0	10.5
ENSB:YPm2M-PkmkgVSDP	0	0	0.096	0.042	0	0	5.77	5.88	0	0	0	0.158	0	7.88	0	0.378	0	0	0
ENSB:cP3H9Gb5xdBHY2p	44.5	0	147	4.13	26.4	0	85.9	155	0	149	3.4	105	0	77.0	0	46.8	0	26.9	75.8
ENSB:jd-IcMXKZkU_IF_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
b3574	5.64	0	49.5	2.3	0	0	11.3	81.0	0	131	0	27.6	0	7.69	201	34.7	0	12.1	61.3
b3575	10.2	0	0.002	0	0	0	27.2	1.23	0	0	3.3	1.23	0	0	0	1.83	0	0	0
b3576	0	0	0	0	0	0	0	13.2	0	0	0	0	0	0	0	0.127	0	0	0
b3577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
b3578	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0.019	0	0	0
b3579	0	0	0	0	0	0	11.5	0	0	0	22.5	2.82	0	0	0	4.22	0	0	0
b3580	0	0	0	0	0	0	19.0	0	0	0	0	0	0	0	0	0.33	0	0	0
b3581	3.36	0	1.02	0.12	0	0	0	4.03	0	0	0	0	0	0	75.7	3.96	0	0	0
b3582	0	0	0	0	0	0	0	0	0	0	15.4	0	0	0	0	2.68	0	0	0
b3583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:Lrk_Atiuse2Pk7B	0	0	0	0	0	0	0	0	0	0	6.92	0	0	0	0	1.2	0	0	0
ENSB:6CC9UVAwG_SnstM	0	0	0	0	0	0	34.2	4.52	0	0	0	0	0	0	0	0.638	0	0	0
ENSB:clbtiP2uhl_IaBN	0	0	0	0	0	0	15.9	0	0	0	0	0	0	0	24.2	1.43	0	0	0
ENSB:mQf6LXes4ZfDf7i	0	0	0	0	0	0	0	0	0	0	10.8	0	0	0	0	1.88	0	0	0
ENSB:hoKbkbKiD029f8l	0	2289	210	20.5	1651	1898	200	798	0	169	2034	287	0	10.5	126	652	0	0	83.5
ENSB:imW_IdGoRdby5fE	0	0	0	0	0	0	68.9	4.48	0	0	0	0	0	0	0	1.74	0	0	2.84
ENSB:K3nQSRoJwKYJCZn	40.6	9.74	68.3	7.96	19.1	7.03	54.5	159	91.4	105	4.99	75.0	0	16.2	75.4	37.7	6.93	6.06	51.4
ENSB:fJukhsJ8f9GD-l3	99.4	0	42.3	4.41	0	0	11.2	14.8	13.0	63.1	3.63	48.2	0	8.98	0	23.0	0	14.0	29.6
ENSB:g3JS1Lr9h69WF3I	1.22	447	437	13.8	190	288	0	380	0	0	188	110	0	17.5	0	110	113	0	9.66
b3593	0	4.39	0	0	0	0	5.55	0.26	0	0	0.648	0	0	0	0	0.439	0	0	0
ENSB:EEoit_TqoJSRygA	0	0	0.82	0.154	0	0	17.2	44.4	0	0	4.37	6.92	0	1.41	64.8	4.94	0	0	0
b3596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:ry5dsolwDjIek-j	0	0	0	0	0	0	96.6	0	9.87	19.7	27.6	0	0	0	0	13.2	0	0	30.1
ENSB:Gowd3LLHdnjjWlq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:aEflD-CU3qYkmt5	135	460	223	3.53	171	246	24.3	418	179	527	239	147	0	18.3	0	225	30.4	17.6	426
ENSB:ZLekCedFifCq2-8	272	907	483	18.8	433	446	576	525	141	651	517	243	0	36.5	0	391	163	87.4	541
ENSB:nMvyw7xs-OFdPGA	0	0	6.0	0.592	0	0	0	39.3	0	0	0	8.49	0	0	0	1.06	0	0	0
ENSB:ez3Pt_h2wn7i9Vs	163	267	149	1.92	208	252	1033	231	0	384	541	209	0	85.6	405	313	119	4.63	523
